canonical_smiles,pIC50,MolWt,LogP,HDonors,HAcceptors,TPSA,RotatableBonds
O=c1c(CCO)c(-c2cc(Cl)ccc2O)c2cc(C(F)(F)F)ccc2n1Cc1nn[nH]n1,1.0,465.81900000000013,3.142500000000001,3.0,7.0,116.92,5.0
C(#Cc1ccccn1)C1=CCCC1,2.6607473659673,169.22699999999995,2.543400000000001,0.0,1.0,12.89,0.0
C(#Cc1ccccn1)C1=CCCCC1,3.170053304058364,183.25399999999993,2.9335000000000013,0.0,1.0,12.89,0.0
C(#CC1CCCCC1)c1ccccn1,2.5561114532226283,185.27000000000004,3.0134000000000016,0.0,1.0,12.89,0.0
C(#Cc1ccccn1)C1=CC(Sc2ccc3ccccc3c2)CCC1,2.275069085807602,341.47900000000016,5.857500000000004,0.0,2.0,12.89,2.0
O=C1c2ccccc2C(=O)N1C1C=C(C#Cc2ccccn2)CCC1,2.2799234272318594,328.3710000000001,3.2082000000000015,0.0,3.0,50.27,1.0
C(#Cc1ccccn1)C1=CC(Sc2ccncc2)CCC1,3.2967086218813386,292.40700000000015,4.099300000000003,0.0,3.0,25.78,2.0
C(#Cc1ccccn1)C1=CC(Oc2ccncc2)CCC1,2.9909742579130896,276.33900000000006,3.386000000000002,0.0,3.0,35.010000000000005,2.0
C(#Cc1ccccn1)C1=CC(Nc2cccnc2)CCC1,2.466227941615282,275.3550000000001,3.419100000000002,1.0,3.0,37.81,2.0
C(#Cc1ccccn1)C1=CC(Oc2cccnc2)CCC1,2.983802646487561,276.33900000000006,3.386000000000002,0.0,3.0,35.010000000000005,2.0
